Danish,English
Mursten,Brick
Træ,Wood
nan,Not applicable
Andet materiale,Other material
Glas,Glass
Bindingsværk,Timber framing
Fibercement herunder asbest,Fiber cement including asbestos
Betonelementer,Concrete elements
Metal,Metal
Letbetonsten,Lightweight concrete blocks
Ingen,None
Fibercement uden asbest,Fiber cement without asbestos
Plastmaterialer,Plastic materials
